"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae",0,0.02112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00504,0,0,0,0,0,0,0.00722,0.02071,0.00278,0.00478,0.00087,0.06432,0.05418,2.44666,0.4724,0,0.6638,0.26702,0,0,4.32979,1.9269,5.39648,2.9419,4.05438,0.04964,0,0,0,0,0,0,0,8.98278,0,7.59678,7.57129,10.16194,5.99539,32.00531,34.34985,0.07174,1.80897,0.01709,39.78634,0,0,0,0,0,0.00232,12.14427,11.09784,1.20639,0,0,0.00238,0,0,0.00867,1.04031,0.33961,0.96823,0.72857,2.37867,0.50363,0.00392,0,2.18837,2.03917,0.1041,0.67063,0.11451,0.40019,1.2861,1.00086,1.0516,0.70293,0.13011,0.02262,0.02776,0.0026,0,28.34523,34.69438,5.66904,1.55059,12.0059,4.9849,7.77205,0.51138,0.82699,0.61542,2.11301,0.80393,0,0.19947,0.06036,0.00179,0.00234,0,0,0,0,0.21271,0,0,0,0.00098,0,0,0.2125,0.05539,0.03668,0,0,0.00101,0,0,0.00302,0.0193,0,0,0,0.00155,4.0036,0.11246,3.48439,0.27626,10.816,39.16552,14.20085,39.07489,7.46817,51.48259,26.7282,0,0,0,0,0,0.03104,0,0.01189,3.92165,1.8314,5.19993,14.49457,6.75137,12.26244,2.20159,23.49077,24.37438,25.91712,11.7582,0,0,0,0,0,0,0,0,0,0,0.00215,0,0,0,0,0.04781,0,0,0,0.0245,0,0.26995,0.00371,0,0,0,0.07398,1.58566,9.20136,0,0,0,0.0084,0,0,0,0,0,2.22427,1.70195,4.00424,2.21575,7.44214,0.01679,0.04694,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae",3.1467,1.52814,1.30203,0.02675,1.22603,1.12309,1.53296,0,0.00064,0,0,3.11378,2.72914,2.39844,2.04553,1.5927,0.46166,4.88186,5.0563,4.14268,5.15043,5.37853,5.50659,2.32934,8.03392,7.09232,10.50631,3.92675,3.85226,12.24421,12.79875,96.06206,23.33018,15.33129,0,0,0.91856,0.539,1.09765,1.20877,0.86457,0.00411,0,0,0,0,0,0,0,0,0,0,0.25489,1.44823,9.16794,0,0,0,0,0,0.00581,6.01214,4.02892,3.72507,0,4.42953,6.83912,0,0,0,4.01137,3.14462,4.15222,3.20748,0.3923,3.31256,1.15975,3.13275,2.04221,1.72982,3.21065,2.08326,8.03041,2.47006,5.14796,4.68821,5.78553,8.75702,6.66612,0.81019,3.6498,1.79839,2.59254,1.39472,5.86798,3.9598,0.5694,0.71208,0.85768,0.13972,0.57815,2.17248,5.50911,3.49122,3.28454,2.56539,0.75956,0.39412,0.47289,0.17488,0.51625,0,0,0,0.47783,2.51862,4.09015,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03496,4.33028,1.64567,2.45099,0,0.83037,0.95785,3.80348,1.73586,8.28715,12.39996,4.8314,4.31882,2.20297,8.29051,1.38503,0.07988,0.5518,0.18639,0.52609,0,0.19243,2.83466,0.96913,1.70742,1.94751,3.68761,1.30997,0.22588,6.32917,1.87817,6.1156,5.9192,8.18212,0.62915,0.50585,1.61319,0.83586,1.62383,1.272,1.30109,0,0,0,0,0,3.7052,2.13078,1.8767,2.77937,1.42168,2.83959,1.44481,0.15209,0.31192,0.15411,0.13092,0,0.42006,0.00205,0,0,0,0,0,0,0,0,0,0,0,1.80015,0.02185,0.03791,0.13486,0.03165,0.01418,0.01052,0.00583,0.30249,3.86195,1.49638,7.74936,0.58383,0,0.00317,0,0.51459,0.04369,7.49386,8.56788,8.38412,14.86957,4.27804,5.52944
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae",3.43536,3.16592,5.37296,4.21122,2.20783,1.23869,1.00803,0,0,0,0,0.19501,0.39829,0.38404,0.48962,0.30013,0.05606,0,0,0,0,0,0,1.24201,1.23959,1.34186,1.54445,0.96194,2.04986,1.98995,2.42343,0,3.48974,2.1834,0,0,0.61068,0.33257,1.01719,0.53109,0.58058,0.2898,0,0,0,0,0,0,0,0,0,0,0.02403,0,0.95043,1.63322,1.38375,0,0.27777,0.20931,2.02309,1.10043,1.66631,0.87862,0,2.27497,1.04324,0,0,0,1.53558,3.38139,3.37354,6.30172,3.19566,1.96373,1.2479,0.86709,1.17708,2.26984,1.28169,1.51669,0.89578,0.4704,0.38231,0.47602,0.76308,0.23004,0.77796,0.69438,0.50609,0.42734,0.82885,0.80344,0.93402,0.17607,0.11848,0.08022,0.0347,0.04441,0.17183,0.40958,0.6355,0.78328,0.57788,0.43148,0.44112,0.43731,0.82298,0.7835,0.6915,3.13403,1.0143,17.11376,13.62532,8.85044,3.46699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77669,0,2.40771,1.57068,0.36976,2.00567,2.62649,1.80202,0.95372,0.3834,0.49168,0.32063,0.64246,0.08087,0.18956,0.23915,0.9479,0.16557,0.24606,0.23339,0.22553,0.46016,0.50182,0.39728,1.0616,0.11702,1.13656,1.98433,2.35316,1.73744,1.59027,0.24173,0.26179,1.92502,1.16644,0.93754,1.0987,0.79343,0,0,0,0,0,0.54512,0.55056,0.52529,0.39625,0.40284,0.55475,0.17077,0.92731,1.47268,0.80694,0.38175,0.13059,0.93962,0.35481,0,0,0,0,0,0,0,0.00315,0.00436,0.00357,0,1.07392,0.16066,0.11236,0.44423,1.11343,0.00129,0.01612,0.02571,0.23829,1.20254,0.48844,0.9249,0.5504,0,0,0,0.03887,1.36684,2.89547,4.43507,4.06937,1.55487,0.57245,0.61696
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae",0.00192,0.00097,0.004,0,0.00418,0.0039,0.00134,0,0,0,0,0,0,0,0,0,0,0,0.00047,0.00043,0,0.00048,0.00036,0,0,0,0,0,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336,0.00114,0,0,0,0,0,0,0.00996,0.01031,0.00488,0,0.01285,0.00986,0,0,0,0.00928,0,0,0,0,0,0,0,0,0,0,0,0.00236,0.00285,0,0.00035,0.00025,0.00094,0.00037,0.00046,0.00147,0.00245,0.00088,0.00048,4e-05,0.00747,0.00473,0.00281,0.009,0,0,0,0,0,0,0,0.00698,0.00594,0.00628,0.00135,0.00491,0,0,0,0,0.02523,0.00423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032,0.00182,6e-04,0.001,0,0,0,0,0,0,0,0.01012,0.00184,0.00888,0.0107,0.01977,0.012,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0,0,0,0,0,0.00013,0,0,0,0,0.00966,0.0305,0.02719,0.01936,0.01863,0.01504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312,0.00883,0.00524,0.01027,0.00253,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8464,0.91065,0.65589,0.35399,0.1579,0.21097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602|f__FGB602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09606,0.02184,0.04594,0.10729,0.21269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15156,0.22117,0.14141,0.17591,0.20024,0.32104,0.13371,0.05505,0.08372,0.04819,0.0385,0,0,0,0,0.00752,0.11432,0.18234,0.29383,0.11888,0.31054,0.39293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB618|o__OFGB618|f__FGB618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286,0.00729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119,0.00701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637|f__FGB637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19569,0.28004,0.3353,0.1078,0.03456,0.03003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriales_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15055,0.13734,0.13513,0.17615,0.06989,0.24673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18878,0.061,0.0379,0.04872,0.0138,0.06984,0.01682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01213,0.01746,0.01827,0.04199,0.00727,0.00314
"k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341,0,0,0,0,0,0,0,0,0,0,0,0.07034,0,0,0,0,0,0,0,0.07385,0.00226,0.06235,0.06822,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44658,2.24566,0.35229,0,0.12569,0.40214,0,0,0,0.03492,0,0,0,0,0,0.06688,0.03733,0.65154,0.56175,0.44692,0.14,0.01158,0.00365,0.03351,0.03574,0.06559,0.04526,0.05331,0.33076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07498,0,0,0.00575,0,0,0,0,0,0,0,0.01682,0.2615,0.12153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1322,0.02826,0.00309,0,0.08,0.10881,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03377,0,0.00984,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14676,2.03388,0.63518,0.91703,0.43145,1.14032
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales|f__Candidatus_Nanogingivalaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059,0,0,0,0,0,0.00139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified",0,0,0,0,0,0,0,0.00116,0.00952,0.01353,0.01249,0.00031,0,0,0,0,0,0.00164,0.00269,0.00366,0.0035,0.00147,0,0.00864,0.00567,0.00727,0.00152,0,0,0,0,0,0,0,0.0132,0.44332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323,0,0,0,0,0,0.05633,0,0,0,0,0,0,0.00562,0.00903,0.00451,0.04513,0.01004,0,0.00278,0.00562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0.00467,0.00421,0,0.00458,0.00487,0.00084,0.00972,0.02026,0.05083,0,0,0,0,0,0,0.00328,0,0,0,0,0,0,0,0.03092,0,0,0,0.01197,8e-04,0.00558,0,0,0,0,0,0.00139,0.00331,0.00747,0.0024,0.00144,0.00107,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0.00022,0.03669,0.00598,0.01113,0.01746,0.01626,0.02357,0.03178,0.00265,0.00519,0.02052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0,4e-05,0.00038,0.00574,0,0,0,0,0,0,0,0,0,0,0.00238,0,0,0.00063,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales|f__Candidatus_Sacchiramonaceaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,0.00664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152,0.003,0.00625,0.00152,0.00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651,0.02501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified",0,0,0,0,0,0,0,0.00618,0.00791,0.01382,0.00883,0,0,0,0,0.00038,0.01654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443,0.70263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00538,0,0.00414,0,0,0,0,0.00021,0,0,0.00225,0.00236,0,0,0,0,0,0,0,0,0,0,0.00206,0.00384,7e-05,0.02873,0.00092,0.00984,0.00498,0.00086,0,0,0,0,0,0,0,0,0,0,0,0.00831,0.00667,0.01865,0,0.13754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522,0.00161,0.00186,0.00041,0.0034,0,0,0,0,0.00098,0.00635,0.00267,0,0.01606,0.00661,0.00749,0.00621,0.00135,0,0,0,0,0,0,0,0,0.00847,0,0,0,0.005,0,0,0,0,0,0.00152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756,0,0,0,0,0,0,0,0.00359,0,0,0,0,0.00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444,0,0,0,0.00474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0,0,0,0.00228,0,0,0,0,0,0,0,0,0,0,0,0,0.00093,0,0,0,0,0,0.18518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,0,0,0,0,0.00147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03901,0.03605,0.01231,0.00094,0.02105,0.11077,0,0,0,0,0,0.02838,0.19206,0.34703,0,0.26395,0.38179,0,0,0.19344,0.08248,0.03964,0.47006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4007,0.20588,2.38441,3.48783,4.03288,0.30723,0,2.10366,0.16863,0.2044,0.03589,0.07495,0.09844,0.04358,0.02707,0.02415,0.01225,0,0.00581,0.0054,0.0935,0.05962,0.02015,0.02651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04536,0,0,0,0,0.3869,0.99643,0.36666,0.28445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91183,0.86416,0.47408,1.19776,0.1418,0.3579,0.13476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42148,0,0,0,0,0,0,0.06791,0,0,0,0,0,0,0,0,0,0,0,0.27645,0.35701,0.43415,0.08848,0.08162,0.98174
