"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08649,0.00539,0.01419,0.01343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas",0.01474,0.02272,0.04464,0.00387,0.10541,0.06018,0.14642,0,0,0,0,0,0,0,0,0,0,0.2839,0.24391,0.21848,0.26867,0.08139,0.14561,0.03957,0.20469,0.3547,0.29495,0.12904,0.12609,1.1964,1.13957,0,1.11985,1.66841,0,0,0.00424,0.013,0.00117,0.00622,0.00429,0,0,0,0,0,0,0,0.07782,0.35951,0,0.88251,1.10122,2.0776,0.38742,0,0,0,0,0,0,0.17542,0.21219,0.07313,0,0.22883,0.22405,0,0,0,0.07127,0.43361,0.42316,0.15824,0.00698,0.05162,0.01319,0.09093,0.00538,0.00913,0.01125,0.01454,0.16925,0.07823,0.00596,0.01301,0.00631,0.04587,0.0017,0.02389,0.00903,0.02193,0.025,0.0105,0.01272,0.94598,0.16266,0.15575,0.07166,0,0,0,0,0.00018,0.00104,0.00253,0.00426,0.00046,0.00044,0,0.01689,0,0,0.27457,0.08433,0.21213,0.40048,0,0,0,0.00339,0,0,1.33566,0.21429,1.26512,0.52129,0.04454,0.15693,0.05476,0.04288,0.07267,0.02414,0.02442,0,0.10016,1.4381,0.13966,0.01398,0.03901,0.10923,0.03054,0.00967,0.05928,0.01729,0.08161,0.00233,0.09325,0.0054,0.03821,0,0.00306,0.09834,0.0085,0.03262,0.02418,0.02154,0.02252,0,0.33933,0.3949,0.29047,0.0089,0.09662,0.00428,0.00617,0.00346,0.00215,0.03213,0.00669,0,0,0,0,0,0,0.0051,0.01049,0.01176,0.01787,0.01085,0.01432,0.05201,0.02261,0.00019,0.00689,0.00202,0,0.03513,0,0.00251,0.01152,0.01916,0,0,0,0,0.83437,0.37873,0.5774,0.8719,0.84771,0,0,0,0,0,0,0,0.00931,0.02832,0.00942,0.06926,0.00025,3.31908,0.41036,0.96221,0.84793,0,0.02482,0.0374,0.05233,0.0288,0.00914,0.08742
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter",0.02797,0.03772,0.02698,0,0.00848,0.00898,0.07817,0,0,0,0,0,0,0,0,0,0,0.4548,0.59004,0.42462,0.44488,1.3794,1.26531,0.81584,0.25745,0.35604,0.11272,0.007,1.48608,1.22481,0.91754,0,0.32385,0.86806,0,0,0.00193,0.01304,0,0.00548,7e-05,0,0,0,0,0,0,0,0.24193,0,0,0,0.00995,0.00388,0.01507,0,0,0,0,0,0,0.01073,0.00708,0,0,0.00322,0.00563,0,0,0,0.00139,0.01034,0.00553,0,0,0,0,0,0,0,0,0,0.22729,0.32542,0.14112,0.15641,0.09033,0.30467,0.00412,0.15913,0.01713,0.03742,0,0.01084,0,0.01851,0.00356,0.00336,3e-04,0,0,0.00059,0.00173,0,0.00285,0.00176,0.05734,0.00864,0.00601,0,0.02102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0.40725,0.01665,0,0.01298,0.04514,0.01225,0.02349,0.01118,0.11085,0,0,0,0,0,0,0,0.01776,0,0,0,9e-05,0.00096,0,0.09872,0,0,0,0.00114,0.00303,0.01394,0.0077,0,0.00176,0,0,0,0,0,0,0,0.00038,0.00074,0.00252,0.01002,0.00213,0.00485,0.00893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01273,0,0,0,0,0,0,0,0,0,0,0,0,0.06652,0.00672,0.15724,0,0.0298,0.06375,0.05803,0.13588,0,0.10369,1.02285,2.82281,0.69571,0.00658,0.01127
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Levyella",0,0.00606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,0.0017,0.00352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833,0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06181,0,0.00095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216,0,0,0.01942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577,0,0,0,0,0,0,0,0,0,0,0.03907,0.03271,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Massilistercora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09046,0.02119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03664,0.04568,0.02321,0,0.03437,0,0,0,0,0,0,0,0,0.05904,0.06914,0.06651,0.03252,0.00499,0.00431,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,0,0.00161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15929,0.58379,0.45778,0.09342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06153,0.08272,0.12953,0.08434,0.01167,0.03607,0.03119,0,0,0.00037,0.00227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus",0.95857,0.81977,0.97736,2.19742,0.60029,0.41111,3.06928,0,0,0,0,0,0,0,0,0,0,0.31475,0.23631,0.22927,0.34131,0.30759,0.47047,0.15774,0.18271,0.32703,0.54902,0.44,0.4357,0.24083,0.01083,0,0,0.15637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10713,1.28348,0.69399,0,0.61407,0.60389,0,0,0,0.78273,0,0,0,0,0,0,0,0,0,0,0,0,0.20228,0,0,0,0,0,0,0,0,0,0,0,0.04936,0.01264,0.00379,0.04955,0,0,0,0,0,0,0,0.27362,0.18702,0.00137,0,0.00039,0,0,0,0,0,0.17469,0,0,0,0,0,0,0,0,0,0,1.86842,1.18894,0.40622,0.36309,0.36289,0.44688,0.08403,0,0,0,0,0.03551,0.01706,0.15857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14595,0.36291,0.48884,0.78383,0.37389,0.6321,0.32423,0,0,0,0,0,0,0,0.08519,1.41305,1.45281,2.17904,1.98619,0.30651,0.61277,0,0,0,0,0.0029,0.02376,0.05006,0.20542,0.02576,0.01803,0.0215,0.0719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis",0.03272,0.02854,0.01531,0.17977,0.04282,0.02899,0.00391,0,0,0,0,0,0,0.00194,0.00034,0,0.00085,0,0,0.00471,0.00521,0.00146,0,0.01096,0,0.00571,0.00084,0.00077,0.00544,0,0.00364,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03146,0,0,0,0,0,0.00391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0.00404,0.00078,0,0,0.00257,0.00747,0,0.00403,0.00043,0.00025,0,0,0,0,0,0.00299,0.00137,0,0.00173,0,0,0,0.01374,0.00574,0.00955,0,0,0,0,0.00238,0.00253,0,0,0,0.00244,0.00385,0.00128,0.00571,0.00049,0.00905,0,0,0,0,0,0,0,0.00275,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0.00023,0.00185,0.00576,0,0,0.00085,0.00108,0.01202,0.00467,0.00674,0.00269,0,0,0,0,0.00042,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0.00138,0,0.00201,0,0,0,0.0022,0,0.00028,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3053,0.19127,0.35591,0.19128,0.29296,0.10693,0,0,0,0,0,0,0,0.01218,0.0222,0.01046,0.02855,0.02334,0,0,0,0,0,0,0,0.72051,0,0,0,0,0.08005,0.14414,0,0,0,0,0,0,0.26344,0.26608,0.51578,0,0.18508,0.31771,0,0,0,0.31162,0,0,0,0,0,1.95979,1.89938,2.80768,2.4383,1.82763,2.47087,0,0.11672,0.00627,0.00988,0.02427,0.01366,0.03589,0.02159,0.04534,0.1125,0,0.21003,0.13129,0.00149,0.00128,0,0.00801,0.00848,0.01109,0.06107,0.10224,0.0489,0.07295,0.02996,0.0186,0.0255,0.07366,0.07722,0.03026,0.7747,0.12335,0.02662,0.04691,0.22968,0.16852,0,0,0,0,0,0,0,0,0,0,0.36262,0.20053,0.31759,0.27809,0.2891,0.36138,0.49764,0,0.05668,0.03257,0,0.00882,0.02501,0.03796,0.16261,0.61839,0.17293,0.11598,0.00412,0.01187,0.00441,0.02087,0.02425,0.00836,0,0.00157,0,6e-05,0,0,0.0039,0.00024,0,0,0,0,0,0.08075,0.06477,0.06555,0.07886,0.05541,0.03834,0.07283,0,0,0,0,0,0.01143,0.01409,0.02485,0.01612,0.00872,0.01876,0.03987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07305,0.34046,0.37747,0.1686,0.36023,0,0,0,0,0,2.41425,2.66203,2.03324,0.03387,0.2335,0.30095
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium",0.07737,0.03286,0.05009,0.11398,0.34927,0.07868,0.21504,0.60634,0.17097,1.45376,1.26699,0,0,0,0,0,0,0.1596,0.06179,0.12927,0.11525,0.1541,0.15341,1.12275,0.71109,0.56277,0.44903,0.57991,0.15612,0.02348,0,0,0.0293,0,0,0,0.5788,0.58312,0.73406,0.47923,0.89084,0,0,0,0,0,0,0,0,0,0,0.0173,0.03445,0.02548,0.06625,0.16406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84355,0.81398,0.72403,0.15459,1.48548,0.68025,0.82442,0.45287,0.23091,0.66059,0.97445,0.28584,0.33041,0.60736,0.81029,0.7264,0.553,1.18884,0.86081,0.41511,0.42215,0.19518,0.38737,0.31224,0.25142,0.39683,0.25853,0.50441,2.3478,1.47892,2.58679,2.14527,2.24098,2.13597,1.64855,0,0,0.01263,0,0,0.10447,0.0828,0.05415,0.25248,0.39132,0.09378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63262,0.38738,0.13636,2.24955,0.88109,1.07522,1.09798,1.95721,1.00801,2.42096,2.18703,1.74312,1.80546,3.03326,2.76554,1.56822,1.34416,0.47739,0.41462,0.70153,0.80591,0.79995,0.92768,0.39085,0.34246,0.76046,0.72727,1.13423,0.79251,1.90765,1.56301,5.88258,3.17075,1.34401,3.35305,5.28577,0,0.00608,0.01534,0.00292,0.00912,0.76031,0.95635,0.79721,0.87145,0.92065,1.52661,0.75672,1.69511,2.53051,2.45987,1.49913,2.78394,2.41848,0.47775,0.66859,0.24371,0.16247,0.06631,1.24727,0.39777,0.07611,0,0,0,0,0,0,0,0.03924,0.04325,0,0.00243,0.11818,0.47025,0.3465,0.24086,0.20186,0.1624,0.0138,0.0406,0.05687,0.09914,0,0.18918,0.13037,0.14937,0.10249,0.32796,0.32692
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__GGB28645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30699,0.41116,0.16464,0.13004,0.15606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__GGB9778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057,0.00403,0.00041,0.00383,0.00409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Intestinibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,5e-04,1e-04,0,0,0,0,0,1e-04,0.00063,0.00064,0.00054,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-05,0,0,0,0,0.00016,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00086,0,0.01067,0,0,0.00074,0,0,0,0,0,0,0,0,0,0,0.00022,0,0.00027,9e-05,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerobutyricum",0,0,0,0,0,0,0,2.20828,2.43266,1.21037,4.45738,0.77195,1.22053,0.82659,1.15852,0.96604,2.25261,0,0,0,0,0,0,0,0,0,0,0,0.99744,0.21734,0.0307,0,0.00649,0.12538,0,0,0.63947,1.21686,0.52219,0.69181,0.82682,0.00156,0,0,0,0,0,0,0,0.66687,0,0.88255,1.39837,0.97071,1.39952,0.09481,0.11189,0.06237,0.43093,0,0.00923,1.00504,0.65743,1.07761,0,1.28952,1.278,0,0,0,0.69755,0,0,0,0,0,0.68915,1.02576,0.69656,0.83976,0.46427,1.03463,0.2749,0.42263,0.30165,0.57575,0.83741,0.34597,0.99627,0.76125,0,0,0,0,0,0.48894,0.78652,0.76172,0.39097,0.27599,0.27004,0.85476,0.53384,0.63386,0.96408,0.82295,0.56591,0.53647,0.55433,0.6388,0.9314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21202,1.08661,0.59331,0.79118,1.8824,1.63129,1.20573,0,0.86895,0.49027,0.47649,1.61343,0.57246,0.42812,0.41638,0.98393,0.57384,0.48151,0.97235,0.80528,1.32486,0.21251,0.80684,0.3725,0.69596,0.93831,0.94062,1.08043,1.14573,0.63042,0.86179,3.11273,0.09023,0.46133,0.53041,0.33662,0.76747,1.38643,1.13858,1.37068,1.19374,0.69155,0.6849,0.98996,0,0,0,0,0,1.09134,1.31855,1.71533,1.37008,2.00106,1.26224,3.97074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12467,0.72626,1.19359,0.49874,1.55885,1.75263,1.18353,0.93769,1.06155,1.06422,0.43739,0.83115,0,0,0,0,0,0.90065,0.63715,0.95968,1.06591,0.69735,0.92453
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerosacchariphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01529,0.03223,0.02553,0.0203,0.01182,0.00448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497,0.00772,0.0076,0.00804,0.00197,0.00705,0.00417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314,0,0.0026,0.00403,0.01112,0,0.00332,0.00612,0.00834,0.01899,0.01189,0.00386,0.00083,0,0,0.00738,0.00568,0.00674,0.00412,0,0,0,0,0,0,0,0,0,0,0,0,0.00268,0.00436,0.00288,0,0.00259,0.00137,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357,0.01177,0.00641,0.00097,0.00192,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes",0.02072,0.03363,0.35858,0.98305,2.63871,0.75508,2.04264,0.09521,0.09253,0.07589,0.04136,1.24401,1.61795,1.21394,1.19865,1.91982,2.46787,1.61448,1.34611,1.74197,1.18043,1.39601,1.30716,1.36828,0.83638,1.49674,0.77,0.87817,0.8835,0.01148,0.00246,0,0,0.02882,0,0,1.30284,1.96679,1.8827,2.0721,2.99518,0.00227,0.1442,0.39339,0.28685,0.18153,0.2256,0.26771,0.09901,0.82912,0,0.92974,2.28534,1.07237,1.91527,4.1109,2.56598,1.07663,4.378,0.15958,1.98696,1.44444,1.29683,2.63394,0.13684,0.2412,0.19381,0.18304,0.22122,0.20123,1.06119,0.92761,0.51523,0.37332,4.68605,0.00067,1.20044,1.27448,2.8065,2.44359,0.76138,1.70656,0.04637,1.03242,0.30657,0.75164,1.03989,0.52308,0.44773,0.86012,1.61965,2.19714,0.32401,0.37912,0.09759,2.97302,2.06698,2.90124,2.89168,0.28859,0.14302,0.34359,0.40882,0.16233,0.38252,0.297,0.39487,0.31289,2.39135,9.97939,0.55701,0.01211,0.12218,0.03667,0.04444,0.06654,1.44479,0,0,0,0.55561,0.96063,0.54462,0.3676,0.37295,0.36986,0.06427,0.47133,0.60952,0.72122,1.65494,0.34235,0.43074,0.72882,0,0.78157,1.03693,11.33017,3.99885,0.65279,0.8376,0.9519,3.30986,0.29937,0.24775,1.30556,1.5096,1.0468,1.32554,2.44544,1.56619,0.96479,0.51642,0.79801,2.05131,0.9441,0.88568,0.59523,0.86219,0.00136,0.99259,0.24858,0.06003,0.1721,0.31216,0.24982,0.43916,0.37224,0.36147,0.36087,0.33089,3.3057,1.24746,3.19166,2.58976,2.84359,1.17501,1.74162,2.46968,2.56748,4.21999,2.22804,1.60083,2.97339,1.92067,2.59655,3.47487,4.55643,1.86596,4.8471,2.20305,1.73512,0.72599,1.83949,4.29026,7.25876,3.62291,0.26179,0.16293,0.09084,0.12424,0.1165,4.29124,2.50549,3.93356,10.8294,2.18111,2.36778,1.73378,1.55797,0.6883,2.27715,0.12028,4.29662,0.26708,0.34058,0.17686,0.43958,0.09396,0.91726,0.65126,0.71114,1.02687,1.43668,0.89728
