"","GO-Pt1-Baseline","GO-Pt1-C1D1","GO-Pt1-C1D3","GO-Pt1-C1D7","GO-Pt1-C2D1","GO-Pt1-C3D1","GO-Pt1-Final","GO-Pt11-Baseline","GO-Pt11-C1D3","GO-Pt11-C1D7","GO-Pt11-C2D1","GO-Pt12-Baseline","GO-Pt12-C1D1","GO-Pt12-C1D3","GO-Pt12-C1D7","GO-Pt12-C2D1","GO-Pt12-C3D1","GO-Pt13-Baseline","GO-Pt13-C1D1","GO-Pt13-C1D3","GO-Pt13-C1D7","GO-Pt13-C2D1","GO-Pt13-C3D1","GO-Pt14-Baseline","GO-Pt14-C1D1","GO-Pt14-C1D3","GO-Pt14-C2D1","GO-Pt14-C3D1","GO-Pt14-Final","GO-Pt15-Baseline","GO-Pt15-C1D1","GO-Pt15-C1D3","GO-Pt15-C1D7","GO-Pt15-C2D1","GO-Pt17-Baseline","GO-Pt17-C1D1","GO-Pt17-C1D7","GO-Pt17-C2D1","GO-Pt17-C3D1","GO-Pt17-Final","GO-Pt18-Baseline","GO-Pt18-C1D1","GO-Pt18-C1D3","GO-Pt18-C1D7","GO-Pt18-C2D1","GO-Pt18-C3D1","GO-Pt19-Baseline","GO-Pt19-C1D3","GO-Pt19-C1D7","GO-Pt19-C2D1","GO-Pt19-C3D1","GO-Pt2-Baseline","GO-Pt2-C1D1","GO-Pt2-C1D3","GO-Pt2-C1D7","GO-Pt2-C2D1","GO-Pt2-C3D1","GO-Pt20-Baseline","GO-Pt20-C1D1","GO-Pt20-C1D3","GO-Pt20-C1D7","GO-Pt20-C2D1","GO-Pt20-C3D1","GO-Pt21-Baseline","GO-Pt21-C1D1","GO-Pt21-C1D3","GO-Pt21-C1D7","GO-Pt22-Baseline","GO-Pt22-C1D1","GO-Pt22-C1D3","GO-Pt22-C1D7","GO-Pt22-C2D1","GO-Pt23-Baseline","GO-Pt23-C1D1","GO-Pt23-C1D3","GO-Pt23-C1D7","GO-Pt23-C2D1","GO-Pt23-C3D1","GO-Pt24-Baseline","GO-Pt24-C1D1","GO-Pt25-Baseline","GO-Pt25-C1D1","GO-Pt25-C1D3","GO-Pt25-C2D1","GO-Pt25-C3D1","GO-Pt25-Final","GO-Pt29-Baseline","GO-Pt29-C1D1","GO-Pt29-C1D3","GO-Pt29-C2D1","GO-Pt29-C3D1","GO-Pt30-Baseline","GO-Pt30-C1D1","GO-Pt30-C1D3","GO-Pt30-C3D1","GO-Pt31-Baseline","GO-Pt31-C1D1","GO-Pt31-C1D3","GO-Pt31-C1D7","GO-Pt31-C2D1","GO-Pt31-C3D1","GO-Pt31-Final","GO-Pt32-Baseline","GO-Pt32-C1D1","GO-Pt32-C1D3","GO-Pt32-C1D7","GO-Pt32-C2D1","GO-Pt33-Baseline","GO-Pt33-C1D1","GO-Pt33-C1D3","GO-Pt33-C1D7","GO-Pt33-C2D1","GO-Pt33-Final","GO-Pt34-Baseline","GO-Pt34-C1D1","GO-Pt34-C1D3","GO-Pt35-Baseline","GO-Pt35-C1D1","GO-Pt35-C1D3","GO-Pt35-C1D7","GO-Pt35-C2D1","GO-Pt35-C3D1","GO-Pt35-Final","GO-Pt38-Baseline","GO-Pt38-C1D1","GO-Pt38-C1D3","GO-Pt38-C1D7","GO-Pt38-C2D1","GO-Pt38-C3D1","GO-Pt38-Final","GO-Pt39-Baseline","GO-Pt4-Baseline","GO-Pt4-C1D1","GO-Pt4-C1D3","GO-Pt4-C2D1","GO-Pt4-C3D1","GO-Pt40-Baseline","GO-Pt40-C1D3","GO-Pt40-C1D7","GO-Pt42-Baseline","GO-Pt42-C1D1","GO-Pt42-C1D3","GO-Pt42-C1D7","GO-Pt42-C2D1","GO-Pt42-C3D1","GO-Pt42-Final","GO-Pt43-Baseline","GO-Pt43-C1D1","GO-Pt43-C1D3","GO-Pt43-C1D7","GO-Pt43-C2D1","GO-Pt43-C3D1","GO-Pt43-Final","GO-Pt44-Baseline","GO-Pt44-C1D1","GO-Pt44-C1D3","GO-Pt44-C1D7","GO-Pt44-C2D1","GO-Pt45-Baseline","GO-Pt45-C1D1","GO-Pt45-C1D3","GO-Pt45-C1D7","GO-Pt45-C2D1","GO-Pt45-C3D1","GO-Pt45-Final","GO-Pt47-Baseline","GO-Pt47-C1D1","GO-Pt47-C1D3","GO-Pt47-C1D7","GO-Pt47-C2D1","GO-Pt50-Baseline","GO-Pt50-C1D1","GO-Pt50-C1D3","GO-Pt50-C1D7","GO-Pt50-C2D1","GO-Pt50-C3D1","GO-Pt50-Final","GO-Pt51-Baseline","GO-Pt51-C1D1","GO-Pt51-C1D3","GO-Pt51-C1D7","GO-Pt51-C2D1","GO-Pt51-C3D1","GO-Pt51-Final","GO-Pt52-Baseline","GO-Pt52-C1D1","GO-Pt52-C1D3","GO-Pt52-C1D7","GO-Pt52-C2D1","GO-Pt52-C3D1","GO-Pt52-Final","GO-Pt53-Baseline","GO-Pt53-C1D1","GO-Pt53-C1D3","GO-Pt53-C1D7","GO-Pt53-C2D1","GO-Pt54-Baseline","GO-Pt54-C1D1","GO-Pt54-C1D3","GO-Pt54-C1D7","GO-Pt54-C3D1","GO-Pt54-Final","GO-Pt6-C1D1","GO-Pt6-C1D3","GO-Pt6-C1D7","GO-Pt6-C2D1","GO-Pt6-C3D1","GO-Pt7-Baseline","GO-Pt7-C1D1","GO-Pt7-C1D3","GO-Pt7-C1D7","GO-Pt7-C2D1","GO-Pt9b-Baseline","GO-Pt9b-C1D1","GO-Pt9b-C1D3","GO-Pt9b-C2D1","GO-Pt9b-C3D1","GO-Pt9c-C1D3"
"d__Archaea;  p__Euryarchaeota;  c__Methanobacteria;  o__Methanobacteriales;  f__Methanobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,1123,4043,767,499,1721,15,52,0,428,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,312,2392,132,736,864,381,164,53,93,209,199,95,572,0,0,0,0,0,15,561,907,522,282,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,21,1000,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,521,354,126,198,19,17,36,5,0,0,0,0,0,0,0,0,191,338,982,384,817,560,541,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,223,340,201,41,155
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Enterococcaceae",0,0,0,0,0,24,2557,0,0,99,1806,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4085,50,68,166,38,56,608,21,16,0,65,62,0,0,0,0,15,0,0,12,0,0,0,0,144,79,12,0,17,11,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,561,31,0,8,11,0,204,301,110,123,45,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,121,21,387,59,6,0,0,0,0,90,24,117,0,2782,0,0,0,0,0,0,0,30,18,9,0,0,8,0,25,35,137,56,23,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0,506,24,0,283,290,101,211,0,0,0,0,0,0,0
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Lactobacillaceae",12,13,355,56,116,15,165,790,103,206,13,33,41,29,6,10,0,0,29,10,37,52,136,121,78,3,0,28,0,0,34,4,9,40,0,8,201,47,0,47,0,36,31,0,6,26,574,396,279,192,99,1641,568,30701,6977,20740,1664,0,4,13,13,5,14,0,18,0,48,0,8,82,0,49,3,117,34,173,193,414,101,260,3,49,38,12,0,17,0,0,0,0,794,63,14,7,143,41,36,258,0,0,0,8,4,0,5,21,78,1309,1926,183,45,14,14,0,0,10,0,0,0,0,0,9,0,0,95,23,37,0,0,16,0,69,547,88,84,10,8,8,0,5,0,0,6,129,64,0,47,4,24,0,0,0,0,806,2183,771,3137,8106,236,19,0,0,4,0,19,91,57,273,0,22,36,74,134,33,84,70,56,67,54,44,89,60,43,224,2703,1473,806,4734,1170,899,187,0,3,0,31,0,0,14,0,49,139,0,104,39,22,7965,8566,49,18,326,61,101714,6,0,0,6,187,0
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Leuconostocaceae",0,0,0,0,0,0,0,15,0,12,68,0,0,0,0,6,5,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,3,0,0,0,8,28,0,7,15,0,13,172,0,3,0,0,55,0,0,0,0,10,11,3,15,3,0,2,3,22,0,0,4,0,0,0,19,49,0,14,135,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,5,0,7,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,0,5,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,331,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,0,0,0,0,0,0,56,0,3,0,0,1322,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae",359,360,5244,2422,1346,2138,1002,2770,8149,5046,2434,192,3024,702,2291,5142,1844,442,793,446,344,2970,2681,293,1791,247,139,566,295,149,46,11,4,657,117,528,1205,420,22,918,7640,8006,11337,7354,14300,18060,2720,8606,3626,4546,2984,7414,10591,12086,14632,22485,20438,5,3062,1042,203,471,58,235,59,243,1247,368,406,211,3387,1032,198,528,145,794,845,1963,1007,2643,67,366,339,383,22,190,2488,1952,1413,1774,3358,562,41,68,715,823,129,93,11,30,4,66,69,963,282,980,207,187,223,274,261,597,17,84,456,133,25,107,109,517,233,319,332,882,576,182,66,66,125,105,6741,1301,2273,148,2679,1540,39,178,678,214,299,108,64,40,193,97,983,49,195,255,53,27,240,371,375,272,525,1654,1508,174,399,220,68,286,169,630,1203,2274,352,400,888,1334,2436,1354,3985,2536,2978,152,91,401,238,53,84,134,212,263,185,614,108,178,858,26,153,59,220,20,110,25,695,1687,1251,550,410,466,838,347,797,1225,2353,138,272,5723,36,106,119,82,318,820
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales; NA",0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__RF39;  f__RF39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,161,73,32,398,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,106,177,1244,1512,132,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,360,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,157,181,168,68,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,11,50,97,9,4,176
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Staphylococcales;  f__Gemellaceae",0,0,0,0,0,0,0,25,15,34,30,0,9,4,9,14,109,12,21,0,0,5,4,3,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,11,9,11,7,3,0,0,6,0,0,17,42,0,8,9,0,0,0,0,0,0,13,4,7,0,16,5,8,9,0,0,0,0,0,7,0,0,0,0,0,0,13,0,8,0,129,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,5,0,4,4,0,5,6,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Staphylococcales;  f__Staphylococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Christensenellales;  f__Christensenellaceae",178,95,140,41,550,67,44,63,99,7,72,150,128,187,437,247,307,3472,6910,1696,3507,3741,2659,1382,988,443,422,309,2074,3509,6923,1343,743,3241,192,309,231,646,20,0,0,0,0,0,0,0,122,123,70,101,184,0,0,0,0,0,0,0,186,22,17,4,6,0,3,0,0,36,63,18,0,227,166,164,42,86,132,103,208,721,141,586,843,444,548,324,394,229,68,160,810,226,133,105,213,41,157,1252,894,484,213,764,12,14,14,0,3,0,0,0,0,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,476,90,26,21,260,3516,640,235,48,130,38,54,7,49,68,10,78,24,7,46,0,1076,107,62,28,16,343,119,157,156,158,109,12,0,0,0,0,0,2379,2066,1688,1670,2736,936,1001,8,4,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,49,26,28,29,19,48,0,10,16,13,64,0,41,99,86,820,1043,310
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridia_UCG-014;  f__Clostridia_UCG-014",44,25,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,788,1752,837,673,284,288,2048,8167,2971,2896,5157,357,54,1098,94,27,24,1053,786,200,1434,146,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,532,134,108,35,22,0,0,1014,2262,2165,2663,71,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,422,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2170,982,7,7,0,0,0,0,0,38,31,7,15,21,46,0,0,0,0,0,0,10,3,19,42,0,0,0,0,0,0,0,0,869,772,1092,250,825,565,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,801,826,337,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,306,366,549,620,582
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridia_vadinBB60_group;  f__Clostridia_vadinBB60_group",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,520,122,39,165,116,26,51,9,22,31,58,43,84,16,18,44,3,0,0,6,0,0,0,0,0,0,0,0,7,3,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,9,27,50,31,12,12,28,13,9,4,9,38,14,3,20,0,6,121,476,95,47,321,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,8,286,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,13,0,0,0,0,0,5,6,0,0,0,0,0,0,34,24,10,34,42,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,6,0,12,16,0
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridia;  f__Hungateiclostridiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,14,30,38,19,20,147,12,23,28,14,86,365,61,62,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,61,0,0,0,0,0,0,0,0,3,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,33,13,8,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridiales;  f__Clostridiaceae",81,27,145,771,0,410,0,111,24,20,146,0,8,0,0,62,272,8,0,9,0,0,0,568,420,21,1170,400,484,440,1680,960,1171,2722,9,0,0,35,0,9183,12,9,28,41,15,34,1261,963,58,2217,2368,221,1253,264,145,38,8062,0,0,0,15,8,51,267,331,0,713,256,212,27,0,97,67,24,0,0,0,9,37,245,0,11,0,649,116,204,50,26,2819,0,429,707,130,22,1288,2100,401,452,5,15,0,22,0,3,0,24,0,107,48,16,6,516,24,203,563,0,15,63,183,2181,233,199,121,79,38,0,5,359,146,334,1003,118,0,0,0,0,12,128,794,47,0,0,0,0,0,0,0,0,0,0,0,0,0,482,1056,361,813,539,453,25,53,317,6,0,0,321,117,332,1761,2886,12,0,0,0,0,0,0,210,136,187,0,0,0,167,339,134,2098,188,74,6,42,0,27,11,140,0,0,0,0,0,13,0,1633,1239,218,109,0,153,491,9,28,0,170,76,78,241,1458,0
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Eubacteriales;  f__Anaerofustaceae",25,11,26,119,58,10,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,10,7,0,0,0,0,8,20,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,16,2,17,0,31,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Eubacteriales;  f__Eubacteriaceae",140,37,186,263,1292,52,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,38,44,54,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,562,313,28,804,0,6,0,0,0,4,0,0,0,14,22,12,0,0,51,65,68,36,72,20,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,44,22,35,105,210,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,6,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,38,72,66,67,15,51,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Defluviitaleaceae",215,82,166,0,250,43,128,0,0,0,0,0,0,0,0,0,0,174,216,36,211,133,186,21,72,33,60,41,23,59,18,0,0,21,31,29,0,36,0,0,0,0,0,0,0,0,21,19,13,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,79,0,0,15,0,16,0,34,51,0,46,20,43,9,0,17,0,12,40,36,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0,22,16,25,16,20,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,13,0,0,0,0,0,0,0,3,5,0,4,0
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae",13509,11312,23039,27374,27547,2407,4725,37782,53364,53249,41110,38659,33993,36383,57310,39929,65512,40086,62530,22838,24704,27900,21087,16862,43836,28049,38236,21315,8102,17831,23443,12134,7860,8178,27888,25188,30887,37288,6529,1721,22922,16120,61311,29506,22762,23998,20000,23730,28854,41532,15216,22129,24659,16084,13084,3318,27674,5812,148065,46598,40501,29223,40911,29714,30578,12207,69769,15434,11896,9007,8921,6987,17434,13185,5050,12176,15113,21859,2846,17087,1371,6655,8287,6531,5987,4752,13752,5224,6174,5051,7383,6909,10151,7333,16367,8893,8624,17583,14868,11050,4825,17652,5241,12586,18552,25834,4119,14841,9995,15884,7373,9727,7199,12163,10041,5359,15565,17601,11071,17000,17225,27395,33203,9717,12615,12742,17817,14402,10594,17756,5,36765,49504,42285,32866,32178,6647,21884,4695,13015,8827,13069,9447,10751,7351,11565,15091,10542,16636,22142,4908,17768,20669,4953,7401,3086,3220,9865,19194,6702,10531,8947,7687,15535,12117,16740,9366,15280,12470,25081,7151,11058,11470,6453,22442,12312,13576,17589,12910,14031,14038,5831,14535,16984,21622,22270,24196,21688,14926,9151,24156,17617,36543,21698,58736,7810,26591,12011,14908,16829,13963,4504,37426,18774,47394,13453,27966,30175,24585,20689,53457,55230,7863,10635,10618,10060,16526,14112
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Monoglobales;  f__Monoglobaceae",685,250,1825,3344,1059,108,786,467,279,878,591,545,415,679,937,440,851,1074,1238,365,752,738,660,74,444,351,563,553,381,326,58,0,0,110,12,528,52,179,76,0,0,0,0,0,0,0,267,180,535,530,199,12,0,0,0,0,0,92,2893,523,797,250,322,0,0,0,0,19,4,0,0,0,105,28,41,87,143,153,67,122,8,14,3,0,5,8,166,162,0,130,110,87,112,76,192,86,144,409,393,235,149,360,26,76,70,38,34,0,0,0,0,80,61,0,0,0,0,0,0,0,0,0,0,537,379,342,487,156,274,186,0,666,674,310,188,457,33,16,14,107,33,6,53,28,0,8,123,60,216,920,21,444,5,0,0,0,0,215,6,8,0,0,3,0,0,0,0,0,0,0,114,245,216,142,401,281,126,512,318,214,389,52,260,8,22,384,453,621,298,27,136,99,278,337,535,121,14,16,44,6,5,8,777,586,1320,332,688,0,0,0,0,0,66,60,86,49,195,193
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__[Clostridium]_methylpentosum_group",30,0,22,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,190,159,134,0,6,0,0,0,0,0,7,0,0,0,0,40,12,31,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,17,26,21,8,10,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__[Eubacterium]_coprostanoligenes_group",2466,995,1741,2652,2790,350,974,0,0,0,0,0,0,0,0,1310,4151,1534,2311,642,689,442,444,897,2483,573,1917,1296,503,1341,3708,202,542,842,702,635,976,1440,0,0,1202,1401,803,133,154,82,941,1378,1156,2117,868,0,0,0,6,0,13,166,3192,800,1062,677,1102,829,389,217,27,916,843,521,0,729,142,671,62,0,371,20,1091,1839,220,778,1214,843,1041,243,683,437,1195,495,468,451,692,368,1022,242,509,1230,2458,1132,451,1807,94,166,213,0,12,0,19,6,4,958,349,0,0,0,0,0,0,0,0,0,0,20,53,9,25,1165,166,824,0,562,1223,457,733,137,354,1299,559,1704,111,639,152,407,14,186,0,0,0,0,35,368,0,520,817,489,656,96,898,136,249,287,394,195,0,0,0,0,0,0,254,329,434,289,823,756,875,9,52,40,22,15,170,0,31,20,19,11,13,0,0,0,0,0,510,120,755,795,559,185,610,149,960,778,1114,767,395,0,0,468,5467,0,324,733,285,253,354,548
"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Butyricicoccaceae",440,82,642,309,1216,35,181,0,0,0,0,434,293,512,468,454,4627,489,498,187,145,86,165,83,491,460,241,515,128,210,156,19,14,31,473,518,587,1283,281,22,160,115,103,18,137,158,196,93,482,286,435,175,901,45,173,102,612,8,322,86,139,114,62,0,240,117,332,116,112,112,136,33,360,278,81,168,246,396,0,39,17,194,112,60,128,73,62,47,178,59,121,13,95,69,591,159,221,278,247,195,154,391,92,281,256,312,127,75,81,69,10,56,34,0,0,0,0,0,0,26,8,77,37,63,101,10,49,41,59,197,0,1044,674,370,301,175,0,11,0,251,169,40,86,185,149,252,176,459,142,262,90,154,269,68,330,49,82,202,485,154,147,228,105,265,111,0,0,0,0,0,162,225,220,74,384,244,330,157,275,229,480,163,258,284,19,18,37,19,10,0,0,282,92,93,413,14,361,136,123,160,177,36,553,149,985,176,577,93,222,117,214,0,205,93,142,191,229,126
